X,Y,OBJECTID,Precinct,Location,Address,Proposal,status,RetireStatus,FeatureID
-84.3824547730482,33.9498269880329,1189,SS02B,Spalding Drive Elem School,130 West Spalding Drive Ne,106/20,approved,active,
-84.3821318026282,33.9221776475676,1190,SS07A,Heritage Hall Sandy Spring,6110 Blue Stone Rd,107/20,approved,active,
-84.3821318026282,33.9221776475676,1191,SS07B,Heritage Hall Sandy Spring,6110 Blue Stone Rd,107/20,approved,active,
-84.3821318026282,33.9221776475676,1192,SS07C,Heritage Hall Sandy Spring,6110 Blue Stone Rd,107/20,approved,active,
-84.3701253925766,33.899074896357,1193,SS11B,Highpoint Elementary School,520 Greenland Rd,108/20,approved,active,
-84.3701253925766,33.899074896357,1194,SS11C,Highpoint Elementary School,520 Greenland Rd,108/20,approved,active,
-84.3701253925766,33.899074896357,1195,SS11D,Highpoint Elementary School,520 Greenland Rd,108/20,approved,active,
-84.3702415099944,33.7396474200469,1196,01D,Grant Park Recreation Center,537  Park Avenue,109/20,approved,active,
-84.3702415099944,33.7396474200469,1197,01E,Grant Park Recreation Center,537  Park Avenue,109/20,approved,active,
-84.3787055221789,33.8316095928802,1198,07E,Garden Hills Elementary School,285 Sheridan Dr NE,110/20,approved,active,
-84.3787055221789,33.8316095928802,1199,07N,Garden Hills Elementary School,285 Sheridan Dr NE,110/20,approved,active,
-84.3368597456048,34.0606820338811,1200,RW16,Hembree Springs Elementary School,815 Hembree Rd,111/20,approved,active,
-84.3060760152874,34.0300100137734,1201,RW13,Northwood Elementary School,10200 Wooten Rd,112/20,approved,active,
-84.4809442792871,33.5711484220827,1202,SC23B,"Nolan, Love T. Elementary Sch",2725 Creel Road,113/20,approved,active,
-84.4809442792871,33.5711484220827,1203,SC23C,"Nolan, Love T. Elementary Sch",2725 Creel Road,113/20,approved,active,
-84.3536370711465,33.9779522181489,1204,SS19A,Ison Springs Elementary School      ,8261 Ison Rd,114/20,approved,active,
-84.3524086796757,33.9900424056463,1205,SS22,Sherwood Events         ,8610 Roswell Rd,115/20,approved,active,
-84.4811369656417,33.5932233083229,1207,SC11A,Bethune Elementary School,5925 Old Carriage Dr,117/20,approved,active,
-84.3670959499218,34.0723302109665,1209,RW09A,World Harvest Church       ,320 Hardscrabble Rd,102/20,approved,active,
-84.5091514270036,33.690489051809,1210,11N,Believers Bible Christian Church,3689 Campbellton Rd SW,83/20,approved,active,
-84.3566810180178,33.7930812768997,1211,06D1,Morningside Prebyterian Church ,1411 North Moringside Dr NE,119/20,approved,active,
-84.3541815660178,33.7968227938087,1212,06D2,Haygood Memorial United Methodist Church ,1015 E Rock Springs Rd NE,119/20,approved,active,
-84.1246452056114,34.0434514676796,1213,JC01A,River Trial Middle School ,10795 Rogers Circle,121/20,approved,active,
-84.5874973061374,33.5614161352789,1214,FA01D,New Beginnings Senior Center   ,66 Brooks Drive,122/20,approved,active,
-84.4269222612437,33.7851882607789,1215,08P,Mount Ephraim Baptist Church,1202 West Marietta St NW,125/20,approved,active,
-84.4269222612437,33.7851882607789,1216,09H,Mount Ephraim Baptist Church,1202 West Marietta St NW,125/20,approved,active,
-84.4784968786592,33.6666531333846,1217,EP04C,Woodland Middle School,2745 Stone Road,123/20,approved,active,
-84.4184485792597,33.7155931634564,1218,12A1,Sylvan Middle School     ,1461 Sylvan Rd SW,124/20,approved,active,
-84.3870047378576,33.7783583576348,1219,02A1,Historic Academy of Medicine   ,875 West Peachtree St NW,127/20,approved,active,
-84.4620966201157,33.7119125163962,1220,11M1,Adams Park Recreation Center,1620 Delowe Drive SW,128/20,approved,active,
-84.4704008560898,33.8029576334321,1221,09K1,Scott Elem School,1752 Hollywood Rd Nw,129/20,approved,active,
-84.3627968767719,34.0728020761457,1222,RW12A,Sweet Apple Elementary School,12025 Etris Rd,130/20,approved,active,
-84.6276791227253,33.5586730006537,1223,SC07D,Creekside High School    ,7405 Herndon Road ,132/20,approved,active,
-84.3662304868991,33.7730429572174,1225,02F1,Ponce City Market ,675 Ponce De Leon Ave NE,135/20,approved,active,
-84.3662304868991,33.7730429572174,1226,02F2,Ponce City Market ,675 Ponce De Leon Ave NE,135/20,approved,active,
-84.3797780123314,33.8403098605642,1227,07M,Buckhead Theatre    ,3110 Roswell Rd NE  ,136/20,approved,active,
-84.3689573354907,33.7589862321898,1228,05J,David T. Howard Middle School ,551 John Wesley Dobbs Ave NE,137/20,approved,active,
-84.5163546292124,33.6926974360943,1229,11B1,Southwest Atlanta Christian Academy ,3911 Campbellton Rd SW,138/20,approved,active,
-84.3809134527337,33.892317940544,1230,SS13A,North Fulton Training Center    ,5025 Roswell Road,139/20,approved,active,
-84.3809134527337,33.892317940544,1231,SS13B,North Fulton Training Center    ,5025 Roswell Road,139/20,approved,active,
-84.3200013295095,34.1183629065985,1232,ML03A,Summit Hill Elementaty School,13855 Providence Rd,140/20,approved,active,
-84.3850983885145,33.7726693622944,1233,02L1A,The Fox Theatre  ,660 Peachtree St NE,126/20,approved,active,
-84.5541450811838,33.5843921654424,1234,UC02C,The Gathering Place   ,6280 Bryant St    ,133/20,approved,active,
-84.6155502683037,33.6565321532861,1235,SC15A,Cliftondale Elementary School,3340 West Stubbs Rd,131/20,approved,active,
-84.3846956231096,33.9231620968837,1236,SS09B,Sandy Springs United Meth. Ch.,86 Mount Vernon Hwy Nw,142/20,approved,active,
-84.4065400523061,33.8330383545996,1240,08H,Sutton Middle School,2875 Northside Dr,143/20,approved,active,
